name,link,sub,memory_load,day,annotation_file_name,annotation_file_link
suj12_l5nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj12_l5nap_day2.vmrk,12,5,2,suj12_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcc89ad5a101fe12a65d
suj12_l5nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj12_l5nap_day2.vhdr,12,5,2,suj12_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcc89ad5a101fe12a65d
suj13_l5nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj13_l5nap_day1.eeg,13,5,1,suj13_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcc86c613b01fc7f10ac
suj13_l5nap_day1.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj13_l5nap_day1.vmrk,13,5,1,suj13_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcc86c613b01fc7f10ac
suj13_l5nap_day1.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj13_l5nap_day1.vhdr,13,5,1,suj13_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcc86c613b01fc7f10ac
suj13_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj13_l2nap_day2.eeg,13,2,2,suj13_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcc9b83f6901f9f46472
suj13_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj13_l2nap_day2.vmrk,13,2,2,suj13_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcc9b83f6901f9f46472
suj13_l2nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj13_l2nap_day2.vhdr,13,2,2,suj13_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcc9b83f6901f9f46472
suj14_l2nap_day2.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj14_l2nap_day2.eeg,14,2,2,suj14_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd16c613b01fb7f10ab
suj14_l2nap_day2.vmrk,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj14_l2nap_day2.vmrk,14,2,2,suj14_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd16c613b01fb7f10ab
suj14_l2nap_day2.vhdr,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj14_l2nap_day2.vhdr,14,2,2,suj14_nap_day2_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd16c613b01fb7f10ab
suj15_l2nap_day1.eeg,https://files.osf.io/v1/resources/chav7/providers/googledrive/suj15_l2nap_day1.eeg,15,2,1,suj15_nap_day1_edited_annotations.txt,https://files.osf.io/v1/resources/h68a3/providers/osfstorage/58b0bcd29ad5a101f912a668
